Titel;Auteur;Plaatsing;Plaatsing omschrijving;Pl.Opmerking;Zizo Jeugd;Prijs;Jaargang;Genre Jeugd;Hoofdwoord;Exemplaar;Exem-id;Magazijn;Materiaal;Min. leeftijd;Status;Bijlage;Categorie
Lang leve lef!;Janssen, Joke;JFC;Jeugd fictie 12-14 jaar;JANS;;16.95;;;;PI083517X;6055209;N;B4;0;B;;4
Lang leve saai!;Janssen, Joke;JFB;Jeugd fictie 9-11 jaar rood;JANS;;16.95;;;;NA0925128;4943779;N;B4;0;B;;4
Lang leve saai!;Janssen, Joke;JFC;Jeugd fictie 12-14 jaar;JANS;;16.95;;;;PI0644838;4943781;N;B4;0;B;;4
Lang zullen ze leven;Merho;SJB;Strips jeugd 9-11 jaar;Kiekeboes;;0.00;    ;;;NA0815292;4179333;N;S4;0;U;;4
Lang zullen ze leven;Merho;SJB;Strips jeugd 9-11 jaar;Kiekeboes;;4.10;    ;;;NA0555762;4568362;N;S4;0;U;;4
Lang zullen ze leven;Merho;SJB;Strips jeugd 9-11 jaar;Kiekeboes;;6.99;    ;;;3,00E+13;7635643;N;S4;0;U;;4
Lang, lang geleden : ontdek de fout;Wood, Amanda;JIK;Jeugd info: geschiedenis;;GEGES;16.99;;;;NA1156942;5964303;N;B5;0;B;;5
Lang, lang geleden : ontdek de fout;Wood, Amanda;JIK;Jeugd info: geschiedenis;;GEGES;16.99;;;;PI0792616;5964306;N;B5;0;B;;5
Lange schaduwen;Hunter, Erin;JFB;Jeugd fictie 9-11 jaar;HUNT;;16.95;;;;PI0767069;5807052;N;B4;0;B;;4
Lange schaduwen;Hunter, Erin;JFB;Jeugd fictie 9-11 jaar rood;HUNT;;16.95;;;;NA1142437;5807049;N;B4;0;B;;4
Langs de Duisterweg;Teng, Tais;JFA;Jeugd fictie 7-8 jaar geel;TENG;;0.00;;;;NA0227706;2776042;N;B4;0;B;;4
Langstaarts wraak;Hunter, Erin;JFB;Jeugd fictie 9-11 jaar rood;;;24.99;;;HUNT;3,00E+13;23061243;N;B4;0;U;;4
Lannoo's geïllustreerde atlas;Brooks, Andrew;JIJ;Jeugd info: landen;;LAATL;14.99;;;;NA1032755;5770237;N;B5;0;B;;5
Lannoo's grote encyclopedie van alle dieren;Woodward, John;JIH;Jeugd info: natuur;;NADIE;0.00;;;;3,00E+13;28573899;N;B5;0;B;;5
Lannoo's grote encyclopedie van alle dieren;Woodward, John;JIH;Jeugd info: natuur;;NADIE;24.99;;;;NA098034X;5986845;N;B5;0;A;;5
Lannoo's grote encyclopedie van alle dinosauriërs;Woodward, John;JIK;Jeugd info: geschiedenis;;GEOER;19.99;;;;NA0917834;5350157;N;B5;0;B;;5
Lannoo's grote encyclopedie van alle dinosauriërs;Woodward, John;JIK;Jeugd info: geschiedenis;;GEOER;25.99;;;;3,00E+13;26959143;N;B5;0;B;;5
Lannoo's grote encyclopedie van alle kennis;;JIE;Jeugd info: weetjes;;WEENC;22.99;;;;3,00E+13;25402661;N;B5;0;B;;5
Lannoo's grote encyclopedie van alle voer- en vaartuigen;Fitzgerald, Ian;JIG;Jeugd info: verkeer;;VEVER;25.99;;;;3,00E+13;30942975;N;B5;0;B;;5
Lannoo's grote encyclopedie van alle voer- en vaartuigen;Fitzgerald, Ian;JIG;Jeugd info: verkeer;;VEVER;25.99;;;FITZ;#241112030878032;30878032;N;B5;0;I;;5
Lannoo's grote encyclopedie van alle voer- en vaartuigen;Fitzgerald, Ian;JIG;Jeugd info: verkeer;9+ - rood;VEVER;25.99;;;;3,00E+13;31088595;N;B5;0;U;;5
Lannoo's grote encyclopedie van de geschiedenis;;JIK;Jeugd info: geschiedenis;;GEGES;24.99;;;;3,00E+13;14122275;N;B5;0;U;;5
Lannoo's grote encyclopedie van de geschiedenis;;JIK;Jeugd info: geschiedenis;;GEGES;24.99;;;;3,00E+13;14114578;N;B5;0;A;;5
Lannoo's grote encyclopedie van de geschiedenis;;JIK;Jeugd info: geschiedenis;;GEGES;25.99;;;LANN;#250826032150788;32150788;N;B5;0;I;;5
Lannoo's grote encyclopedie van de ruimte;;JII;Jeugd info: aarde - heelal;;AASTE;19.99;;;;NA1084755;5746257;N;B5;0;B;;5
Lannoo's grote encyclopedie van de ruimte;;JII;Jeugd info: aarde - heelal;;AASTE;20.99;;;;3,00E+13;24250817;N;B5;0;B;;5
Lannoo's grote encyclopedie van de wetenschap : wetenschap zoals ;;JIF;Jeugd info: wetenschappen;;WTWET;25.99;;;;3,00E+13;12388741;N;B5;0;B;;5
Lannoo's grote encyclopedie van de wetenschap : wetenschap zoals ;;JIF;Jeugd info: wetenschappen;9+ - rood;WTWET;0.00;    ;;;3,00E+13;7317523;N;B5;0;B;;5
Lannoo's grote encyclopedie van planten en zwammen;Boddy, Lynne;JIH;Jeugd info: natuur;;NAPLA;25.99;;;;3,00E+13;29932445;N;B5;0;B;;5
Lara;Van Loon, Inez;JFC;Jeugd fictie 12-14 jaar;LOON;;17.95;;;;PI0615595;4773698;N;B4;0;B;;4
Lara;Van Loon, Inez;JFC;Jeugd fictie 12-14 jaar blauw;VANL;;17.95;;;;NA0820245;4773696;N;B4;0;B;;4
Lars lust geen boeken;Hula, Saskia;JFA;Jeugd fictie 7-8 jaar geel;HULA;;14.95;;;;NA0732079;4122464;N;B4;0;B;;4
Lars lust geen sommen;Hula, Saskia;JFA;Jeugd fictie 7-8 jaar geel;HULA;;14.95;;;;NA0732060;4122406;N;B4;0;B;;4
Laser game : rennen voor je leven;Stoffels, Maren;JFB;Jeugd fictie 9-11 jaar;;;14.99;;;STOF;3,00E+13;26831347;N;B4;0;B;;4
Laser game : rennen voor je leven;Stoffels, Maren;JFB;Jeugd fictie 9-11 jaar rood;;;14.99;;;STOF;3,00E+13;26972609;N;B4;0;U;;4
Lasso mortale;Achdé;SJB;Strips jeugd 9-11 jaar;Lucky Luke;;6.95;;;;NA0868345;5099403;N;S4;0;U;;4
Laster;Shepard, Sara;YF0;Adolescenten;SHEP;;9.95;;;;PI0607991;4691645;N;BA;0;U;;4
Laster;Shepard, Sara;YF0;Jongeren fictie grijs;SHEP;;9.95;;;;NA0780383;4691642;N;BA;0;B;;4
Lastige seinen;;FSJ;Speelfilms jeugd;THOM;;11.58;;;;NA1088084;5669197;N;D4;0;B;;2
Later wil ik klein worden;Van Gelder, Job;JP0;Jeugd poëzie;;;15.99;;;GELD;3,00E+13;17803794;N;B5;0;B;;5
Later wil ik klein worden;Van Gelder, Job;JP0;Jeugd poëzie;;;15.99;;;VANG;3,00E+13;22843736;N;B4;0;U;;4
Later word ik : brandweerman, onthaalouder, vuilnisman, marktkram;Vermeulen, Moniek;JIN;Jeugd info: dagelijks leven;;DASCH;13.95;;;;NA0834718;4948842;N;B5;0;B;;5
Later word ik : brandweerman, onthaalouder, vuilnisman, marktkram;Vermeulen, Moniek;JIN;Jeugd info: dagelijks leven;;DASCH;13.95;;;;PI0637114;4948845;N;B5;0;B;;5
Later word ik : weerman, kok, lasser, verpleger, dierenarts, wiel;Vermeulen, Moniek;JIN;Jeugd info: dagelijks leven;;DASCH;13.95;;;;PI0681245;5142350;N;B5;0;B;;5
Later word ik : weerman, kok, lasser, verpleger, dierenarts, wiel;Vermeulen, Moniek;JIN;Jeugd info: dagelijks leven;;DASCH;13.95;    ;;;NA0901598;5142348;N;B4;0;U;;5
Later word ik balletdanseres;Vandermeeren, Hilde;JIO;Jeugd info: vrije tijd - kunst;;VRDAN;0.00;;;;PI0461210;3381690;N;B5;0;B;;4
Later word ik circusartiest;Vandermeeren, Hilde;JIO;Jeugd info: vrije tijd - kunst;;VRCIR;0.00;;;;PI0424234;3238845;N;B5;0;B;;4
Later word ik dokter;Vandermeeren, Hilde;JIM;Jeugd info: mens;;MEZIE;14.95;;;;PI0548022;4057523;N;B5;0;B;;4
Later word ik fantasmagoog!;Douyé, Sylvia;SJB;Strips jeugd 9-11 jaar;Hexeleintje;;8.95;    ;;;3,00E+13;17774262;N;S4;0;T;;4
Later word ik juf;Vandermeeren, Hilde;JIN;Jeugd info: dagelijks leven;;DASCH;14.95;;;;PI0516074;3599575;N;B5;0;B;;4
Later word ik kapster;Vandermeeren, Hilde;JIM;Jeugd info: mens;;MELVE;14.95;;;;PI0569011;4319381;N;B5;0;B;;4
Later word ik kok;Vandermeeren, Hilde;JIO;Jeugd info: vrije tijd - kunst;;VRKOK;14.95;;;;PI0548030;4057456;N;B5;0;B;;4
Later word ik metselaar;Vandermeeren, Hilde;JIN;Jeugd info: dagelijks leven;;DASCH;14.95;;;;PI0516082;3849653;N;B5;0;B;;4
Later word ik politieman;Vandermeeren, Hilde;JIN;Jeugd info: dagelijks leven;;DAPOL;14.95;;;;PI0516090;3849982;N;B5;0;B;;4
Later word ik verkoopster;Vandermeeren, Hilde;JIN;Jeugd info: dagelijks leven;;DASCH;14.95;;;;PI0516066;3849573;N;B5;0;B;;4
Later word ik voetballer;Vandermeeren, Hilde;JIO;Jeugd info: vrije tijd - kunst;;VRBAL;14.95;;;;PI0580449;4319250;N;B5;0;B;;4
Later, zei de zwarte kater;Elders, Ilse;JP0;Jeugd poëzie;ELDE;;0.00;;;;NA033653X;2809595;N;B4;0;U;;4
Lava en chocolade;van Dam, Arend;JFB;Jeugd fictie 9-11 jaar rood;VAND;;11.95;;;;NA0943053;4170740;N;B4;0;A;;4
Lawaai dat nooit stopt;Ness, Patrick;YF0;Adolescenten;NESS;;19.95;;;;PI0642452;4964788;N;BA;0;B;;4
Lawaaimakers;Ollivier, Reina;JIH;Jeugd info: natuur;6+ - geel;NAGED;18.95;;;;3,00E+13;21648955;N;B5;0;B;;5
Layers;Poznanski, Ursula;YF0;Jongeren fictie grijs;POZN;;19.95;;;;NA1151029;5813104;N;BA;0;B;;4
"Le ballon rouge ; Crin-Blanc";Lamorisse, Albert;FSJ;Speelfilms jeugd;BALL;;23.95;;;;PI052297X;3603490;N;D4;0;B;;2
Le petit Nicolas : qu'est-ce qu'on attend pour être heureux?;Fredon, Amandine;FSJ;Speelfilms jeugd;;;20.99;;;PETI;3,00E+13;29040173;N;D4;0;F;;4
Le petit prince;Osborne, Mark;FSJ;Speelfilms jeugd;;;9.95;    ;;KLEI;3,00E+13;17398748;N;D4;0;B;;4
Le petit prince;Osborne, Mark;FSJ;Speelfilms jeugd;KLEI;;18.22;;;;NA0971219;5549991;N;D4;0;B;;2
Le petit prince;Osborne, Mark;FSJ;Speelfilms jeugd;PETI;;14.95;;;;PI0747688;5549993;N;D4;0;F;;4
Leen nooit sportkleding van je ouders!;Hoffman, Marjon;JFA;Jeugd fictie 7-8 jaar geel;;;15.99;;;HOFF;3,00E+13;30574266;N;B4;0;R;;4
Leen nooit sportkleding van je ouders!;Hoffman, Marjon;JFB;Jeugd fictie 9-11 jaar;;;15.99;;;HOFF;3,00E+13;30608303;N;B4;0;B;;4
Leer dwarsfluit spelen;Elliott, Katie;JIO;Jeugd info: vrije tijd - kunst;;VRINS;0.00;;;;PI0114405;6561661;N;B5;0;B;;5
Leer gitaar spelen;Danes, Emma;JIO;Jeugd info: vrije tijd - kunst;;VRINS;0.00;;;;PI0187836;6529518;N;B5;0;U;;5
Leer meer over weer;Wijnberg, Rudy;JII;Jeugd info: aarde - heelal;;AAWEE;9.95;;;;NA0924989;5130894;N;B5;0;B;;5
Leer mindmappen ...voor kids : de mind-app voor het betere denkwe;Van Uden, Ed;JIN;Jeugd info: dagelijks leven;;DASCH;19.95;;;;NA0837172;4473016;N;B5;0;B;;5
Leer paardrijden;Henderson, Carolyn;JIH;Jeugd info: natuur;;NAPAA;0.00;;;;NA091133X;6569223;N;B5;0;B;;5
Leer stap voor stap programmeren en je eigen computergames maken;Vorderman, Carol;JIF;Jeugd info: wetenschappen;;WTCOM;16.99;;;;PI0683132;5218252;N;B5;0;A;;5
Leer stap voor stap programmeren en je eigen computergames maken;Vorderman, Carol;JIF;Jeugd info: wetenschappen;;WTCOM;19.99;;;;3,00E+13;14758954;N;B5;0;B;;5
Leer stap voor stap programmeren en je eigen computergames maken;Vorderman, Carol;JIF;Jeugd info: wetenschappen;;WTCOM;19.99;;;;3,00E+13;14139917;N;B5;0;B;;5
Leer stap voor stap programmeren en je eigen computergames maken;Vorderman, Carol;JIF;Jeugd info: wetenschappen;9+ - rood;WTCOM;16.99;;;;NA0858064;5218249;N;B5;0;B;;5
Leer strips tekenen met de Kiekeboes;Merho;JIO;Jeugd info: vrije tijd - kunst;;VRTEK;11.99;;;;NA1050133;5653535;N;B5;0;B;;5
Leer strips tekenen met de Kiekeboes;Merho;JIO;Jeugd info: vrije tijd - kunst;;VRTEK;11.99;;;;PI0750182;5653537;N;B5;0;A;;5
Leerstoornissen;Flynn, Margaret;JIN;Jeugd info: dagelijks leven;;DASCH;0.00;    ;;;NA0336459;2839054;N;B5;0;A;;5
Lees dit niet!;Pastis, Stephan;JFB;Jeugd fictie 9-11 jaar;;;15.99;;;PAST;3,00E+13;17749366;N;B4;0;B;;4
Lees dit niet!;Pastis, Stephan;JFB;Jeugd fictie 9-11 jaar rood;;;15.99;;;PAST;3,00E+13;17749522;N;B4;0;B;;4
Lees je mee(r)? : samen sterke verhalen lezen;Lezerscollectief;JFB;Jeugd fictie 9-11 jaar;;;21.95;;;LEZE;3,00E+13;31767098;N;B4;0;B;;4
Leestekens : komma's, punten en vraagtekens;Ganeri, Anita;JIP;Jeugd info: taal;;TATAA;11.00;;;;3,00E+13;5003651;N;B5;0;B;;5
Leeuw : het leven en de avonturen van een jonge leeuw;Parker, Steve;JIH;Jeugd info: natuur;9+ - rood;NAROO;0.00;;;;NA1140205;5320915;N;B5;0;B;;5
Leeuwen;Bergeron, Alain M;JIH;Jeugd info: natuur;;NAROO;8.99;;;;NA0853550;5257903;N;B5;0;B;;5
Leeuwen;Denis-Huot, Christine;JIH;Jeugd info: natuur;;NAROO;12.95;;;;PI0642363;4998669;N;B5;0;B;;5
Leeuwen;Dineen, Jacqueline;JIH;Jeugd info: natuur;;NAROO;13.00;;;;PI0644633;4787508;N;B5;0;B;;5
Leeuwen;Morgan, Sally;JIH;Jeugd info: natuur;;NAROO;0.00;;;;PI0426458;3255816;N;B5;0;B;;5
Leeuwen;Woodward, John;JIH;Jeugd info: natuur;;NAROO;0.00;;;;PI0351040;2898869;N;B5;0;B;;5
Leeuwen : jagers van de troep;Jaycox, Jaclyn;JIH;Jeugd info: natuur;;NAROO;17.00;;;;3,00E+13;30608543;N;B5;0;B;;5
Leeuwen : jagers van de troep;Jaycox, Jaclyn;JIH;Jeugd info: natuur;6+ - geel;NAROO;17.00;;;;3,00E+13;30559191;N;B5;0;B;;5
Leeuwen : luie koningen;Denis-Huot, Christine;JIH;Jeugd info: natuur;;NAROO;9.75;;;;PI0566233;4212515;N;B5;0;B;;5
Leeuwen, tijgers en andere grote katten;Gunzi, Christiane;JIH;Jeugd info: natuur;9+ - rood;NAROO;10.95;;;;NA0638749;2836653;N;B5;0;B;;5
Leeuwenhart;Penrhyn Lowe, Alexandra;YF0;Adolescenten;LOWE;;14.99;;;;PI0798614;6014612;N;BA;0;B;;4
Leeuwenjacht;Prins, Ruben;JFA;Jeugd fictie 7-8 jaar geel;PRIN;;10.00;;;;NA0949000;4343088;N;B4;0;A;;4
Leeuwenmoed;Schrefer, Eliot;JFB;Jeugd fictie 9-11 jaar rood;MULL;;12.50;;;;NA1140272;5825676;N;B4;0;B;;4
Leeuwenroof;Van Loon, Paul;JFA;Jeugd fictie 7-8 jaar geel;VANL;;12.95;;;;NA0591572;3274152;N;B4;0;B;;4
Lef;Barth, Erna;JFC;Jeugd fictie 12-14 jaar;BART;;14.95;;;;PI0840033;6289434;N;B4;0;B;;4
Lege kamers;Koster, Susanne;YF0;Adolescenten;;;17.95;;;KOST;3,00E+13;17847986;N;BA;0;B;;4
Legend;Lu, Marie;YF0;Adolescenten;LU;;16.95;;;;PI0596426;4577760;N;BA;0;B;;4
Legend;Lu, Marie;YF0;Jongeren fictie grijs;LU;;16.95;;;;NA0799297;4577757;N;BA;0;U;;4
Legend of the guardians : the owls of Ga'Hoole;Snyder, Zack;FSJ;Speelfilms jeugd;LEGE;;15.95;;;;PI0669814;4286803;N;D4;6;B;;4
Legendarieuze prestaties van legendarische legendes;Yang, Gene Luen;SJK;Strips jeugd klein formaat;Boek van Clash;;15.99;    ;;;3,00E+13;28661918;N;S4;0;U;;4
Legendarieuze prestaties van legendarische legendes;Yang, Gene Luen;SJK;Strips jeugd klein formaat;Boek van Clash;;15.99;    ;;;3,00E+13;29312082;N;S4;0;U;;4
Lego : echt alles wat je zou moeten weten;Hugo, Simon;JIO;Jeugd info: vrije tijd - kunst;;VRSPG;24.99;;;;NA1108395;6217988;N;B5;0;B;;5
Lego : echt alles wat je zou moeten weten;Hugo, Simon;JIO;Jeugd info: vrije tijd - kunst;;VRSPG;24.99;;;;PI083050X;6217991;N;B5;0;A;;5
Lego : echt alles wat je zou moeten weten;Hugo, Simon;JIO;Jeugd info: vrije tijd - kunst;;VRSPG;27.50;;;;3,00E+13;30575229;N;B5;0;B;;5
Lego Batman the movie : DC super heroes unite;Burton, Jon;FSJ;Speelfilms jeugd;;;10.59;;;lego;3,00E+13;17445913;N;D4;6;B;;4
LEGO Harry Potter ideeënboek;Dolan, Hannah;JIO;Jeugd info: vrije tijd - kunst;9+ - rood;VRSPG;24.99;;;;3,00E+13;30714997;N;B5;0;U;;5
Lego Jurassic World : De indominus ontsnapping;Black, Michael D.;FSJ;Speelfilms jeugd;;;6.15;    ;;LEGO;3,00E+13;12393959;N;D4;6;U;;4
Lego Jurassic World : de legende van Isla Nublar;Duncan, Andrew;FSJ;Speelfilms jeugd;;;13.24;    ;;LEGO;3,00E+13;13252223;N;D4;6;B;;4
LEGO NINJAGO - De ruige reddingsmissie;Behling, Steve;JMA;Jeugd makkelijk lezen 6-8 j;;;12.99;    ;;BEHL;3,00E+13;24966718;N;B4;0;U;;4
Lego Ninjago : masters of Spinjitzu;;FSJ;Speelfilms jeugd;;;17.50;    ;;NINJ;3,00E+13;7754837;N;D4;6;U;;4
Leguaan;Simon, Elisabeth;JIH;Jeugd info: natuur;;NAAMF;12.00;;;;PI0630470;4828015;N;B5;0;B;;5
Lekker;Von Ziegesar, Cecily;JFC;Jeugd fictie 12-14 jaar;ZIEG;;0.00;;;;PI0508209;4083713;N;B4;0;B;;4
Lekker bezig;Peirce, Lincoln;JFB;Jeugd fictie 9-11 jaar;PEIR;;14.99;;;;PI067186X;4926032;N;B4;0;B;;4
Lekker bezig;Peirce, Lincoln;JFB;Jeugd fictie 9-11 jaar rood;PEIR;;14.95;;;;NA0830224;4926029;N;B4;0;B;;4
Lekker bezig (zeker weten!);Pichon, Liz;JFB;Jeugd fictie 9-11 jaar;PICH;;10.00;;;;PI0727032;5700767;N;B4;0;B;;4
Lekker bezig (zeker weten!);Pichon, Liz;JFB;Jeugd fictie 9-11 jaar rood;PICH;;0.00;;;;NA1084607;5700765;N;B4;0;U;;4
Lekker in je vel spel;Van Beers, Annemariet;GEJ;Spellen jeugd;;;0.00;    ;;;3,00E+13;7717070;N;LN;0;B;;4
Lekker in je vel spel;Van Beers, Annemariet;GEJ;Spellen jeugd;;;0.00;    ;;;3,00E+13;7717076;N;LN;0;U;;4
Lekker lezen met Pit en Puf;De Bel, Marc;JFA;Jeugd fictie 7-8 jaar geel;DEBE;;14.95;;;;NA0851876;4296044;N;B4;0;B;;4
Lekker smeuïg;König, Ralf;SJB;Strips jeugd 9-11 jaar;Lucky Luke;;8.99;    ;;;3,00E+13;22965305;N;S4;0;B;;4
Lekker uitpakken! : kookboek voor kinderen;Luiten, Karin;JIO;Jeugd info: vrije tijd - kunst;;VRKOK;16.99;;;;PI0760080;5768943;N;B5;0;B;;5
Lekker veggie : van ontbijt tot toetje;De Kookhoek;JIO;Jeugd info: vrije tijd - kunst;;VRKOK;19.95;;;;3,00E+13;17484358;N;B5;0;U;;5
Lekker veggie : van ontbijt tot toetje;De Kookhoek;JIO;Jeugd info: vrije tijd - kunst;;VRKOK;19.95;;;;3,00E+13;17538859;N;B5;0;B;;5
Lekkers van om de hoek;Overman, Anouk;JIO;Jeugd info: vrije tijd - kunst;;VRKOK;24.95;;;;3,00E+13;26722692;N;B5;0;U;;4
Lekkers van om de hoek;Overman, Anouk;JIO;Jeugd info: vrije tijd - kunst;;VRKOK;24.95;;;;3,00E+13;26510678;N;B5;0;B;;5
Lelijk is ze!;Cauvin, Raoul;SJB;Strips jeugd 9-11 jaar;Cédric;;5.25;    ;;;NA0644617;4086797;N;S4;0;U;;4
Lemony Snicket's : a series of unfortunate events;Silberling, Brad;FSJ;Speelfilms jeugd;LEMO;;14.50;;;;NA0800406;3136331;N;D4;6;B;;2
Lemony Snicket's : a series of unfortunate events;Silberling, Brad;FSJ;Speelfilms jeugd;LEMO;;9.90;;;;NA0886831;3136330;N;D4;6;B;;2
Lenigheid : hoe word ik leniger?;Labrecque, Ellen;JIO;Jeugd info: vrije tijd - kunst;;VRSPO;11.00;;;;PI0652121;4936833;N;B5;0;B;;5
Lennox en de gouden sikkel;Zevenbergen, Zindzi;JFB;Jeugd fictie 9-11 jaar;;;20.00;;;ZEVE;3,00E+13;24250801;N;B4;0;B;;4
Leon, de slalomkampioen;Masannek, Joachim;JFA;Jeugd fictie 7-8 jaar geel;MASA;;10.95;;;;NA0638943;3197012;N;B4;0;B;;4
Leon, de slalomkampioen;Masannek, Joachim;JFB;Jeugd fictie 9-11 jaar;MASA;;0.00;;;;PI0416681;3197015;N;B4;0;B;;4
Leonardo da Vinci;;JIO;Jeugd info: vrije tijd - kunst;;VRSCH;9.95;;;;NA1050168;4806710;N;B5;0;B;;5
Leonardo da Vinci;Alonso, Javier;JIO;Jeugd info: vrije tijd - kunst;;VRSCH;12.95;;;;PI0812056;6135771;N;B5;0;B;;5
Leonardo da Vinci;Connolly, Sean;JIO;Jeugd info: vrije tijd - kunst;;VRSCH;10.00;;;;PI0630527;3137828;N;B5;0;B;;5
Leonardo da Vinci;Nys, Peter;JIO;Jeugd info: vrije tijd - kunst;;VRSCH;17.95;;;;3,00E+13;29805925;N;B5;0;B;;5
Leonardo da Vinci : de schilder en zijn verhaal;Pinguilly, Yves;JIO;Jeugd info: vrije tijd - kunst;;VRSCH;0.00;    ;;;NA0074845;2731288;N;B5;0;B;;5
Leonardo da Vinci : kunstenaar, uitvinder en wetenschapper uit de;Romei, Francesca;JIO;Jeugd info: vrije tijd - kunst;;VRKUN;0.00;;;;PI0242519;6561771;N;B5;0;B;;5
Lepel;Van De Sande Bakhuyzen, Willem;FSJ;Speelfilms jeugd;LEPE;;7.95;;;;PI0643505;3122131;N;D4;0;B;;4
Leren : hoe? zo! : hoe pak je examens aan? reken af met faalangst;Opgenhaffen, Tommy;YI0;Jongeren info;Studeren;;39.99;    ;;;NA0778893;4332351;N;B5;0;B;;3
Leren lezen met Mol en Vos;Vlietstra, David;JFA;Jeugd fictie 7-8 jaar geel;;;21.95;;;VLIE;3,00E+13;30456689;N;B4;0;B;;4
Leren programmeren met Minecraft : tover je wereld om met de krac;Richardson, Craig;JIF;Jeugd info: wetenschappen;9+ - rood;WTCOM;22.95;;;;NA0980390;5843622;N;B5;0;B;;5
Les baux de Provence;Fauviaux, Benoit;JIK;Jeugd info: geschiedenis;;GEMID;6.50;    ;;;NA0644366;3652214;N;B5;0;B;;5
Les triplettes de Belleville;Chomet, Sylvain;FSJ;Speelfilms jeugd;TRIP;;11.95;;;;PI0512826;2711949;N;D4;0;B;;2
Lessen voor supersterren;Colas, Irène;JIP;Jeugd info: taal;;TASPR;8.95;;;;PI0514640;3852278;N;B5;0;B;;5
Lessen voor toverheksen;Colas, Irène;JIP;Jeugd info: taal;;TASPR;8.95;;;;PI0513350;3852261;N;B5;0;B;;5
Let goed op : een verhaal in tien stappen;Reynolds, Jason;JFC;Jeugd fictie 12-14 jaar;;;15.99;;;REYN;3,00E+13;17487838;N;B4;0;B;;4
Let goed op : een verhaal in tien stappen;Reynolds, Jason;JFC;Jeugd fictie 12-14 jaar blauw;;;15.99;    ;;REYN;3,00E+13;17508630;N;B4;0;U;;4
Let it snow;Johnson, Maureen;YF0;Adolescenten;JOHN;;14.95;;;;PI0584150;4435112;N;BA;0;B;;4
Let it snow;Johnson, Maureen;YF0;Jongeren fictie grijs;JOHN;;14.95;;;;NA0763411;4435110;N;BA;0;U;;4
Letland;Aizpuriete, Amanda;JIJ;Jeugd info: landen;;LANDL;0.00;;;;NA0495476;2983487;N;B5;0;B;;5
Letland;Throp, Claire;JIJ;Jeugd info: landen;;LANDL;19.00;;;;PI0757764;5595678;N;B5;0;B;;5
Leugenaar !;Stine, R.L;JFB;Jeugd fictie 9-11 jaar rood;STIN;;0.00;;;;NA0872040;2849434;N;B4;0;B;;4
Leugenaar leugenaar;Van de Wijdeven, Herman;JFC;Jeugd fictie 12-14 jaar blauw;;;15.99;    ;;VAND;3,00E+13;17659081;N;B4;0;B;;4
Leugens;Grant, Michael;YF0;Adolescenten;GRAN;;19.99;;;;PI0540692;4113363;N;BA;0;B;;4
Leugens;Grant, Michael;YF0;Jongeren fictie grijs;GRAN;;19.99;;;;NA0727156;4113359;N;BA;0;B;;4
Leugens;Vreeswijk, Helen;YF0;Adolescenten;VREE;;15.00;;;;PI0758647;5393838;N;BA;0;B;;4
Leugens;Vreeswijk, Helen;YF0;Jongeren fictie grijs;VREE;;17.95;;;;NA0960071;4157428;N;BA;0;B;;4
Leuk verkleden;Verrecas, Charlotte;JIO;Jeugd info: vrije tijd - kunst;;VRGRI;19.95;;;;NA1023616;5533453;N;B5;0;B;;5
Leuk verkleden;Verrecas, Charlotte;JIO;Jeugd info: vrije tijd - kunst;;VRGRI;19.95;;;;PI074168X;5533456;N;B5;0;B;;5
Leuke groene dingen doen : activiteitengids voor in de stad;Walmsley, Naomi;JIO;Jeugd info: vrije tijd - kunst;;VRSPE;22.50;;;;3,00E+13;17728766;N;B5;0;B;;5
Lev?;De Pelseneer, Reine;JFA;Jeugd fictie 7-8 jaar geel;DEPE;;13.50;;;;NA0879703;3980348;N;B4;0;B;;4
Leve Astrid! : levenslessen met de L van Lindgren;Rottiers, Barbara;JIP;Jeugd info: taal;;TASCH;17.00;;;;3,00E+13;28940673;N;ZJ;0;A;;5
Leve Astrid! : levenslessen met de L van Lindgren;Rottiers, Barbara;JIP;Jeugd info: taal;;TASCH;17.00;;;;3,00E+13;28940638;N;ZJ;0;A;;5
Leve Astrid! : levenslessen met de L van Lindgren;Rottiers, Barbara;JIP;Jeugd info: taal;;TASCH;17.50;;;;3,00E+13;24408360;N;B5;0;B;;5
Leve Astrid! : levenslessen met de L van Lindgren;Rottiers, Barbara;JIP;Jeugd info: taal;9+ - rood;TASCH;17.00;    ;;;3,00E+13;28055370;N;B5;0;B;;5
Leve Astrid! : levenslessen met de L van Lindgren;Rottiers, Barbara;JIP;Jeugd info: taal;9+ - rood;TASCH;17.00;    ;;;3,00E+13;28522792;N;B5;0;B;;5
Leve de fiets!;Geleyn, Frank;JIG;Jeugd info: verkeer;;VEFIE;18.95;;;;3,00E+13;31367529;N;B5;0;B;;5
Leve de fiets!;Geleyn, Frank;JIG;Jeugd info: verkeer;6+ - geel;VEFIE;18.95;;;;3,00E+13;31408466;N;B5;0;U;;5
Leve de kroon! : waargebeurde verhalen over bijzondere koningen, ;Devos, Sarah;JIK;Jeugd info: geschiedenis;;GEGES;16.99;;;;NA1056433;6321394;N;B5;0;B;;5
Leve J3!;Ruysbergh, Jan;SJA;Strips jeugd 6-8 jaar;K3;;4.95;;;;NA0972444;4164043;N;S4;0;U;;4
Leven;;JIH;Jeugd info: natuur;;NANAT;13.99;;;;PI0437298;3342540;N;D4;0;B;;5
